Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-1-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-2-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-3-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-4-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F7.mzML
Q9UKA9	Q9UKA9		PTBP2			478055		620071	432958	473822		545001	444514				339884		475613	119158	436036		453072			386202		379771	606056	129942			553048	124481		288225	521604	478057	465220		404733	203108	604715			179785			557644	497069	593146											
Q9UKB1	Q9UKB1		FBXW11		364142	459096	1.94143e+06	574388	424353	353668		672898	452046				68855.9		459080		574657		506608			621333		543599	355548				646051	50138.1			541745	436863	315028				233627						363598	546569	394361				87348.6	173871						
Q9UKD1	Q9UKD1		GMEB2		371919	439808	313429	426869	408614	339179		425210	289202						194296		291067		206662			267764		189375					345254				209146	178079						268658					119680	165595	133811	207960			213062							
Q9UKD2	Q9UKD2		MRTO4		2.35129e+06	3.25083e+06	2.90048e+06	3.07856e+06	2.76766e+06	3.59352e+06		3.44118e+06	3.76707e+06				249894		2.09023e+06	322407	4.3179e+06		1.9905e+06			4.13254e+06		2.18812e+06					3.75457e+06				3.77215e+06	1.3621e+06			234148			2.73617e+06					1.84012e+06	4.01223e+06	3.45814e+06	3.23652e+06			3.61795e+06	3.45436e+06						
Q9UKE5	Q9UKE5		TNIK			210273	338389	362931	275932	290964		247142	266726				101539	221952	190928		317525		115147			277126		171399		5347.15			203991				203490	113994											63269.7	146740	151490											
Q9UKF6	Q9UKF6		CPSF3		3.22388e+06	2.62599e+06	3.29093e+06	2.22778e+06	2.49819e+06	2.1036e+06		2.37106e+06	2.23844e+06				1.55198e+06		1.97469e+06	152704	2.29476e+06		2.17949e+06			2.49119e+06		1.90966e+06	1.49182e+06	468502			2.13483e+06	759520		378127	1.99066e+06	2.02694e+06	1.90591e+06		990418	355968	1.37406e+06	1.45963e+06		485310			1.69005e+06	1.59692e+06	1.60292e+06	1.27455e+06			1.14682e+06	700565						
Q9UKG1	Q9UKG1		APPL1		1.57587e+06	1.50666e+06	1.39975e+06	1.58596e+06	1.47549e+06	1.50696e+06		1.56582e+06	1.48096e+06				425425		1.02751e+06	244002	1.49724e+06		955580			1.47852e+06		1.00222e+06	413713	259472			1.25723e+06	115351		262332	1.13287e+06	849261	471862		235315	321432	410720	553691		272048			821969	1.03884e+06	921272	418077			409535	369178						
Q9UKG9	Q9UKG9		CROT		87650												239420			420188	155632		201760			155660			361773	588730	140627		75538.7	524810		695179	166898	103248	129361		521960	586258	261063			479238																
Q9UKI8	Q9UKI8		TLK1		365752	310304	318075	289623	237363	341159		386244	281521						145515		269425		144827	1.14453e+06	799288	329444		119079				764107	209608				234057	122875		1.16744e+06					3.33686e+06				177678	286907	195148		3.4185e+06	3.35509e+06					2.62208e+06			
Q9UKJ3	Q9UKJ3		GPATCH8		501372	228186	623193	300743	959833	291128	677263	655781	135107				64135.9		87097.1	40301.6	103944	138070	88999.5			101617	97606.2	74818.5			97075	1.87406e+06	115154				97242.2	63158.9	99608.7					158813					60131	100457	41771.8	81825.9										
Q9UKK3	Q9UKK3		PARP4					120126	98400.2	93226.5		73294.8	71698						40131.1		65232.6					92012.4																																				
Q9UKK6	Q9UKK6		NXT1		527900	323620	413115	202230	206081	219557		261619	315548				47048		156790	112906	289718		130524			229781		166065	66104.6	116674			276391	97123.8		96255.4	215412	161041				151168		339155					111446	229054	211759	144817			177298	288759						
Q9UKK9	Q9UKK9		NUDT5		2.32244e+06	1.00216e+06	2.84838e+06	1.10887e+06	1.18989e+06	1.15259e+06	2.09721e+07	1.00111e+06	569788	1.66124e+07	1.90181e+07	2.49157e+07	739668	1.80659e+07	399561	3.12567e+06	499181	5.83023e+07	379998	1.87518e+07	1.19448e+07	577894	3.46903e+07	423374	850435	2.37923e+06	5.13233e+07	9.02528e+06	893390	4.2249e+06	5.48061e+07	2.59376e+06	585374	467953	675674	7.88289e+06	1.46603e+06	2.70263e+06	708303	3.13345e+06	5.15475e+06	3.6754e+06	5.3383e+07	5.07053e+07	302681	387775	353118	3.26085e+06		3.55387e+06	3.59037e+06	3.49424e+06	2.14016e+07	1.35716e+07				6.39616e+08
Q9UKL0	Q9UKL0		RCOR1		1.54396e+06	1.85291e+06	1.50421e+06	1.17528e+06	1.33954e+06	1.74976e+06		1.25102e+06	1.48705e+06				1.2181e+06		1.59109e+06	331490	1.27211e+06		1.39201e+06			1.42274e+06		1.719e+06	1.32088e+06	420118			1.81251e+06	256805	278503	574190	1.88492e+06	1.41717e+06	1.56729e+06		1.05034e+06	613157	1.50951e+06	1.05182e+06		326909	285876	455897	1.57948e+06	1.66528e+06	1.89105e+06	843615			663624	698854						
Q9UKL6	Q9UKL6		PCTP										105879				51419.6		69411.5	119495			61574.9				170128	60956.8	44219	114871			230856	171122		68142.2						88860.1				84410.9																
Q9UKM7	Q9UKM7		MAN1B1		375831	491314	509211	477254	433477	501354		504708	566631				91866.6		433248		707872		465193			609270		477730	92994.8				452029			85899.1	597748	397792	161232		177759	96107.1	119859	212406		26060.1			473467	718446	517669	390690			288735	366239						
Q9UKM9	Q9UKM9		RALY		1.5459e+07	1.32717e+07	1.49862e+07	1.38586e+07	1.42896e+07	1.39964e+07	521592	1.359e+07	1.05343e+07	450766	506436		1.78925e+06		8.20088e+06		1.04135e+07		8.77831e+06			1.17608e+07		8.7148e+06	1.15682e+06				1.27752e+07				9.69212e+06	8.38648e+06	4.63245e+06		848991		3.08387e+06	6.88639e+06			326047		9.70392e+06	1.01037e+07	9.64787e+06	7.77398e+06			8.44595e+06	8.30519e+06						
Q9UKN8	Q9UKN8		GTF3C4		1.2473e+06	1.32152e+06	1.24564e+06	1.58803e+06	1.50486e+06	1.34266e+06		1.48002e+06	1.28273e+06				638534		1.04945e+06		1.27159e+06		1.14042e+06			1.24732e+06		1.06793e+06	597382				1.10818e+06			163112	1.19636e+06	1.11466e+06	1.04474e+06		425710		724948	1.03499e+06					1.12955e+06	1.36827e+06	1.24483e+06	999018			1.06296e+06	1.07653e+06						
Q9UKR5	Q9UKR5		ERG28								1.5534e+06			1.34227e+06	1.74596e+06	2.35683e+06	521316	2.75226e+06				949003								608898	485921				442699	1.40962e+06						1.04281e+06	411905					252652														
Q9UKS6	Q9UKS6		PACSIN3		1.56133e+06	1.30612e+06	1.38603e+06	1.4374e+06	1.4069e+06	1.31519e+06		1.48219e+06	1.48815e+06				158744	569144	881568		1.45615e+06		918817			1.61587e+06		1.03862e+06	65520.7		103333		1.20458e+06		151727		1.2721e+06	948260	242867				105662	2.78916e+06			44244.4		1.04811e+06	1.51194e+06	1.09493e+06	2.50948e+06			2.54089e+06	2.23998e+06						
Q9UKU6	Q9UKU6		TRHDE		1.19365e+06	1.04074e+06	1.52458e+06	1.15994e+06	1.22199e+06	975287	1.37023e+07	1.17224e+06	913573	9.1532e+06	1.18946e+07	9.09557e+06	406887	7.46193e+06	787765	149427	959228	2.23921e+06	730993			1.103e+06	31861.8	800184	292680	124404	547775		814049	172488	1.24888e+06	165260	804996	728549	424705		271370	122321	344325			176527	67945.8		710940	837707	798962											
Q9UKU7	Q9UKU7		ACAD8			137790	476403	502345			1.20484e+07	446265		1.43338e+07	1.47642e+07	1.90226e+07	202466	1.28072e+07	165192	722731	192165	2.3432e+07	212431	9.9747e+06	8.89886e+06		1.37691e+07	177956	214459	772750	2.63137e+07	7.64232e+06	377645	997235		616006	370243	198884	217842	1.07126e+07	238868	782930	197745			870211			190042	364359	605197				1.85474e+06	1.4971e+06		3.36501e+07				
Q9UKV5	Q9UKV5		AMFR		632446	255487	469258	393718	406077	339393		386663	400670						317995		421729		310174			381945		301308	127689				288911				442105	271403	124825				100261						318859	480485	384732				80690.7							
Q9UKV8	Q9UKV8		AGO2		518521	726885	493564	585722	625410	648259		616457	656835				196758		463587	514185	667847	828699	464439			712706	998000	479937	142325	490280	773868		601248	659922	831337	324584	567507	399611	220701		222074	401622	173728	877927		459718	806941	731547	446995	669991	702579	794394			808106	817785						
Q9UKX3	Q9UKX3		MYH13		4.72998e+06	1.09872e+06	6.8065e+06	3.68119e+06	3.77312e+06	4.2409e+06		2.77842e+06	674853								1.63047e+06		541784			1.31591e+06		81513.2					3.04621e+06				1.32308e+06	534515	416428				809813	956707					909441	963379	1.28759e+06	378458			601252	807332						
Q9UKX7	Q9UKX7		NUP50		897661	260500	387488	655158	508894	543488	3.5854e+06	569847	667261	2.97145e+06	3.57611e+06	3.35051e+06	388008	2.87322e+06		2.22736e+06	403625	8.83191e+06	287219	1.1654e+07		357011	6.85855e+06	198284	508378	2.15311e+06	7.36631e+06	1.01235e+07	825839	3.17518e+06	7.92445e+06	1.3405e+06	463376	194997	254380	1.05832e+07	736510	1.60387e+06	353881	1.81578e+06	1.7246e+07	1.91493e+06	7.56867e+06	6.46044e+06	309772	331964	151693	2.16372e+06	1.94689e+07	1.53579e+07	1.28372e+06	2.49174e+06	1.86456e+07		2.17288e+07	3.61872e+07	2.38967e+07	3.40475e+08
Q9UKY7	Q9UKY7		CDV3		2.90002e+06	1.32928e+06	2.50809e+06	1.71346e+06	1.41329e+06	1.38532e+06	6.47794e+07	1.18913e+06	602030	5.92136e+07	6.90802e+07	5.40673e+07	611280	5.50745e+07	405935	3.00349e+06	409399	4.45263e+07	256884	2.56678e+08	2.99166e+08	799479	1.48955e+07	282844	851615	3.46494e+06	2.15004e+07	2.2291e+08	1.01868e+06	5.50764e+06	1.92513e+07	1.85357e+06	498289	922698	517711	2.42226e+08	1.10863e+06	2.67428e+06	494128	3.64495e+06	5.94824e+08	2.85786e+06	1.90039e+07	1.71696e+07	118534	176415	139822	3.1448e+06	4.92829e+08	5.7628e+08	2.6798e+06	3.42199e+06	2.5122e+08	3.48414e+08	5.50833e+08	5.94874e+08	8.63637e+08	
Q9UKZ1	Q9UKZ1		CNOT11		228990	192206	134542	203717	259925	190704		252402	211155						141780		222793		158060			231282		164074	32133.9				236664				241547	98526.5						168067					128062	186588	189565	155528			177701	118073						
Q9UL03	Q9UL03		INTS6		940450	688829	899855	745927	786546	715838		657413	456565						144802		524308		176495			558027		151734					447550				330404							516424					235801	400428	288361	535789			947918	677152						
Q9UL12	Q9UL12		SARDH		200096	167645		72547.4	51663.7	88485.5			99324.7				126386		82408.2		75659.2		94200.9			113862		69647.8	209846				217184			68994.1	59346.7	94694.4	148486		155897		172346						92389	50555.8	64298.2											
Q9UL15	Q9UL15		BAG5		783324	611905	698418	554184	529915	611911		622693	614650				325177		563776		634358		548400			586051		537701	526838	119608			776652	2.37984e+06		156111	683625	657016	656861		295088	165552	584407	549187					602152	633325	607416	647464			543428	709501						
Q9UL18	Q9UL18		AGO1		589604		623619	409365													295139	2.96939e+06					1.43441e+06								2.19336e+06												1.41232e+06															
Q9UL25	Q9UL25		RAB21		831062	639303	760007	669200	618132	502565	6.36383e+06	551914	304747	7.29674e+06	3.27218e+06	3.85822e+06	626631	3.33759e+06	224196	2.20031e+06	250475	7.20926e+06	203452	5.64123e+06		407650	4.75593e+06	229826	704864	1.82727e+06	5.0151e+06		394988	2.27858e+06	5.06014e+06	1.30169e+06	199277	284746	526182	5.912e+06	822742	1.61287e+06	512516	1.489e+06		1.78279e+06	4.99274e+06	4.7053e+06	221308	199274	117071	1.33327e+06			1.2563e+06	1.36796e+06						1.19653e+07
Q9UL26	Q9UL26		RAB22A		722742	1.04687e+06		1.57333e+06	1.23264e+06	894279	1.739e+07	1.19465e+06	948319	1.82621e+07	1.55271e+07	1.80365e+07		1.59658e+07	791519	401847	960396	9.23998e+06	981025	2.55694e+07	2.01663e+07	1.37834e+06	2.41818e+06	640023	554785		4.20848e+06	1.60385e+07	812456	1.18468e+06	3.82357e+06	451740	1.03766e+06	747218	973186	2.09665e+07	801868	551757	463202	2.26782e+06		557675	3.12001e+06	2.71415e+06	694724	819260	645403	3.35104e+06			3.5745e+06	2.57021e+06	1.34327e+07					1.08218e+09
Q9UL40	Q9UL40		ZNF346		781300	866871	1.03501e+06	1.02264e+06	1.03604e+06	809352		952079	881104				189468		611200	223843	941046		666809			1.02726e+06		683165	128817				788032				802350	535098	183558		98029.3	169750	152428	402831		120999			612183	812972	774533	589209			584398	264347						
Q9UL46	Q9UL46		PSME2		1.7926e+06	1.38293e+06	2.09854e+06	1.53254e+06	1.64387e+06	1.87109e+06	1.45273e+08	1.43902e+06	741006	1.42675e+08	1.03279e+08	8.54343e+07	504717	9.96392e+07	420168	2.57129e+06	706148	4.31426e+07	430354	1.83542e+07	2.25818e+07	873283	2.39388e+07	478799	610006	2.38316e+06	2.69788e+07	1.45782e+07	1.31456e+06	2.82948e+06	3.40054e+07	1.51098e+06	697905	441782	576499	2.49824e+07	722805	1.61095e+06	555935	1.33372e+06		2.51952e+06	3.03869e+07	2.89027e+07	403987	517448	585107	1.4559e+06			2.0167e+06	3.55287e+06	1.34852e+07	2.93696e+07				2.51076e+09
Q9ULA0	Q9ULA0		DNPEP		2.63806e+06	1.57718e+06	2.57709e+06	2.16033e+06	2.38265e+06	1.91354e+06		1.82135e+06	1.97351e+06				3.42388e+06		2.07509e+06	5.02053e+06	1.62945e+06		1.96071e+06			1.54945e+06	1.23806e+06	2.42064e+06	3.78405e+06	3.90809e+06	237110		1.47486e+06	4.15577e+06	192832	4.56024e+06	1.4464e+06	1.88349e+06	2.76872e+06		4.35779e+06	4.25433e+06	3.12031e+06	707763		3.67712e+06	472923	460173	1.72496e+06	1.65676e+06	1.5753e+06	645643			872866	904872						
Q9ULC3	Q9ULC3		RAB23			282814		615721			3.8718e+06	349209	259017	2.12192e+06	4.02922e+06	2.90384e+06	250665	2.24104e+06	470024	206931	325938	1.89095e+06	319062				1.24016e+06	433968		317768	1.56928e+06		675564	191118	1.91637e+06	223382		491998				235962	515660	496588		451957	1.81371e+06	1.49309e+06	539781	554045	626536	585594			774492	718002						
Q9ULC4	Q9ULC4		MCTS1		223908	393878	227421	522582	604815	489471		458111	296880	540216	1.00117e+06	552698	667837	286040	246508	4.52959e+06	313893	1.16031e+07	281027			384379	1.22071e+07	281796	612999	4.01222e+06	1.10987e+07		445044	5.05437e+06	9.96832e+06	2.37135e+06	295709	260006	484529		781700	3.06071e+06	504141	1.14394e+06		3.69602e+06	8.838e+06	8.62489e+06	245061	209795	357541	914511			1.07361e+06	1.57357e+06						2.38831e+08
Q9ULC5	Q9ULC5		ACSL5																																									116988								53811.8			82400.2							
Q9ULD0	Q9ULD0		OGDHL		839595	863699	967407	832495	881097	855918		824766	773813				314200		933453		785357		1.15336e+06			901558		1.01737e+06	187015				792186				617546	1.14628e+06	551454				175387						884595	610966	558109											
Q9ULF5	Q9ULF5		SLC39A10		634743	421511	661460	423328	391768	416587	598216	331280	438352	595921	862740		80934.8		268015	230474	401320	391290	162076			456965	181630	268870	245287	343965	219933		292221	468315	210688	273415	363548	118888			250461	201099		390369		288224		172880	368340	608848	468834	480119			390787	547022						
Q9ULG1	Q9ULG1		INO80		864912	639932	846673	775004	746332	639259		649176	419448						247717		568574		278122			668561		308765					466831				451788	103943											181233	431686	399336	429274			322398	299641						
Q9ULH0	Q9ULH0		KIDINS220		1.35376e+06	553297	902646	671052	649002	671270		695272	614643		873666	523078			363594		697240		324339	6.76136e+06	1.19899e+07	711456		444302				7.39145e+06	564671				649935	302625		1.13826e+07				217121	2.64485e+07				388774	570226	520327	166633	2.77774e+07	2.8744e+07	164826	260149		1.78291e+07	3.41798e+07		4.21183e+07	
Q9ULH7	Q9ULH7		MRTFB		126355			66795.6									86114.6			129632		137355							121477	135185				139128		137747					188377	151668		73855.1																		
Q9ULI0	Q9ULI0		ATAD2B		768250	394653		301301	581351	497586		623062	108884								294718					301178							135859				237140														119645				74510.8							
Q9ULI3	Q9ULI3		HEG1		509242	205426	680817	434412	276104	219725	5.49837e+06	293958		3.54346e+06	4.46395e+06	4.64534e+06	334517	3.26737e+06	103938	650509		4.39883e+06	244361			273624	2.71077e+06	117959	355131	580848	3.51725e+06		267080	1.04936e+06	3.29228e+06	494299	108582	240306	299233		438939	458899	255801	198872		818259	3.63046e+06	2.57235e+06	183870	202141	210489	239474			206688	366220						
Q9ULJ6	Q9ULJ6		ZMIZ1			335224				335524	1.50252e+06	172847		1.83409e+06	1.67796e+06	1.6842e+06		1.39818e+06					165385	1.35985e+07	1.05953e+07							1.6247e+07	179273				226064		92700.3	2.04496e+07															4.7534e+06		1.997e+07	3.82447e+07				
Q9ULK4	Q9ULK4		MED23		761827	829689	821276	856487	940213	841371		790982	765424				63915.5		571879		856151		529843			896537		624689	231886				692558				664256	533042	129986					172841					636503	814245	708707	341870			303867	266974						
Q9ULK5	Q9ULK5		VANGL2		30620.5	54506.5	39416.2	54749.5	54386.7	51765.9		46296.3	43575.8				5309.21		26511.7	4736.12	38147.6		33269.6			36288.6		45567.9					27303.5				21710.3	15579.4												20834.4												
Q9ULP9	Q9ULP9		TBC1D24														262005			1.03983e+06							567434		197922	981783	358586			1.21982e+06		781594			124495		378042	954457	203168			1.03343e+06	477337	270538	88698.3		103108	624995				294319						
Q9ULQ1	Q9ULQ1		TPCN1		473529	309018	133864	313710	279246	318657	834653	379324	273567				43456.7		143891		269063		147986	2.46405e+06		263292	175100	223576	20008.4		245309	928065	232120				257448	141855	53418.2				24776.1	97096.6					136543	253160	201274											
Q9ULR0	Q9ULR0		ISY1		2.76465e+06	705200	2.54975e+06	949575	1.00024e+06	825622		904251	657918				223108		656474		682920		766601			855791		699064	65675.9				754007				600308	776142	340381		69008.5		199844	767087					810898	974427	733577	879275			930056	940348						
Q9ULR3	Q9ULR3		PPM1H														193105			647943	160647					108985	562022		100585	443771				627007	332730	322588			141474		181797	456778	105157			495603	108683	260375														
Q9ULS5	Q9ULS5		TMCC3		2.54999e+06	1.58121e+06	2.20951e+06	1.79369e+06	1.7731e+06	1.68328e+06	3.60716e+06	1.67038e+06	1.46761e+06	2.50011e+06	2.65288e+06	2.5317e+06	485562	2.84212e+06	1.04035e+06	332237	1.44364e+06	606600	900587			1.52221e+06	821607	1.08955e+06	414882	327344	618413		1.2592e+06	196318	647951	291032	1.3842e+06	655943	511750		382435	237548	440061			321589	357729	592532	812634	1.29727e+06	1.1474e+06											
Q9ULT8	Q9ULT8		HECTD1		195661	171544	243139	279637	222119	213495		302660	293839				30531.8		205309		258370		236136			229164		265142	44590.6				152618				266556	254383	71173				55105.9	301451					236284	198757	258484	263384			264414	352406						
Q9ULU4	Q9ULU4		ZMYND8		619652	546595	490592	459357	436768	470082		384228	427225				347637		417203	242723	436410		319091			519487		341609	486283	355545			536098	177045		448990	503509	318761	319104		321009	425163	414872	299066		414191			339608	392291	527008	342586	2.47978e+06		308561	223502						
Q9ULV0	Q9ULV0		MYO5B		1.3072e+06	912784	1.19e+06	1.24651e+06	1.31441e+06	1.06414e+06		1.1453e+06	755117						377416		909897		418874			874990		365749					854428				707111	327700						90792.6					361219	714675	522850	389759			422249	404525						
Q9ULV4	Q9ULV4		CORO1C		1.69581e+06	1.00642e+06	1.65126e+06	835194	864881	845250	5.20298e+06	609525	615834				4.15627e+06		776695	3.34172e+06	530293		859168			923953		605011	4.20648e+06	2.90075e+06			863357	2.38949e+06	429306	4.98179e+06	641241	915464	2.46223e+06		6.02488e+06	3.58557e+06	3.44325e+06	2.12834e+06		2.87217e+06	653166	683059	721464	486524	601299	2.29512e+06			2.1898e+06	2.79091e+06						
Q9ULW0	Q9ULW0		TPX2		410223	155637	334468	287216	314055	251728	2.51715e+06	240636	125864	2.67937e+06	2.93267e+06	2.52712e+06	451794	1.83708e+06	350317	141021	145630	861835	223346	1.93555e+07	1.30022e+07	111256	261344	256561	260723		391413	1.44754e+07		130102	218823	142828	129197	271975	346902	2.15367e+07	369231	75831.5	270407	367150	2.86575e+06		1.68251e+06	1.83533e+06	197864		141086	284846	3.86482e+06	4.10299e+06	334417		1.21785e+07	2.04856e+07				
Q9ULW3	Q9ULW3		ABT1		780972	705194	876543	568978	682811	535057		579194	458902						259603		500362		264632			547781		246406					597093				437280												298764	452708	440406	319305			387717	477496						
Q9ULX3	Q9ULX3		NOB1		898646	445459	885249	403123	471444	518166		519165	542718				57098.8		268583		566598		442131			653815		391154					588702				389770	319950						517903					312941	443432	376583	385197			463503	424368						
Q9ULX6	Q9ULX6		AKAP8L		2.05106e+06	1.22509e+06	2.1764e+06	1.12498e+06	1.13983e+06	880265		1.03701e+06	980796						602340		1.06406e+06		582811			1.10514e+06		794275					1.02459e+06				988370	510400						836469					660381	914802	875495	851712			887975	887991						
Q9ULX9	Q9ULX9		MAFF																																									85191.3								110478										
Q9ULZ3	Q9ULZ3		PYCARD										168594				56193			631246		788735					938716		56194.7	603369	679516			955977	426312	283016					55607.1	388475				498086	343828	530152														
Q9UM00	Q9UM00		TMCO1		935012	2.16814e+06	865949	2.42732e+06	2.50386e+06	2.59047e+06	326888	2.49627e+06	2.39433e+06	661621	444368	1.0234e+06	976914		1.95146e+06	267268	2.52708e+06	482357	1.79636e+06			2.6982e+06	317250	2.28072e+06	825283	167536	280169		2.5062e+06	80955.8	284197	277864	2.3472e+06	1.76728e+06	1.12903e+06		604493	312119	894899	1.30214e+06		233367			1.65872e+06	2.91305e+06	2.13608e+06	1.43364e+06			2.01588e+06	2.61061e+06						
Q9UM13	Q9UM13		ANAPC10				325880	144293		112620	556620	118551	64302			498200		547754			68553.5			1.33209e+07	2.96344e+07			29142.6				1.47154e+07					45371.8			1.21217e+07					3.04101e+07								3.25996e+07	3.52864e+07			8.75774e+06		3.81198e+07		3.86813e+07	
Q9UM22	Q9UM22		EPDR1								1.11924e+06			1.53863e+06	1.26398e+06	1.07603e+06		923903				220494		4.24421e+07	1.11477e+08							4.88537e+07								5.19487e+07				1.21424e+06	2.10281e+08							1.3377e+06	2.24535e+08	2.04933e+08	1.38053e+06	1.3743e+06	5.17079e+07	8.17432e+07	2.05097e+08		4.51164e+08	
Q9UM47	Q9UM47		NOTCH3		377211	332439	317322	369225	341938	278210		366429	274327						63243		247984		105759			270524		124574	60644.6				295503				149082	76184.9					27785.7						101258	155958	107887											
Q9UMN6	Q9UMN6		KMT2B		192537	167119	188366	162905	145568	142386		198667	151044						115099		253304		177796			220651		138218					235252				221144	172594						108178					143654	156936	146070	104110										
Q9UMR2	Q9UMR2		DDX19B		333344	373647	256938	386858	353705	361238		395158	457479				406498		604275	92065	481436		1.10802e+06			433038		1.05913e+06	670067	174679			485906	47303.7		489005	409059	1.0018e+06	840082		268727	347199	1.14926e+06	2.37799e+06		253350			1.0302e+06	1.07719e+06	831884	2.34229e+06			2.43635e+06	2.24008e+06						
Q9UMR5	Q9UMR5		PPT2								3.01643e+06			3.26503e+06	2.54265e+06	2.23653e+06		3.11888e+06				453042					156008				145858				271842									925274								697975			798074	292027						
